"Import from Magento1 data","Import from Magento1 data"
"PDF Files","PDF Files"
"PDF Background","PDF Hintergund"
"Please use PDF with version <= 1.4 as background template","Bitte benutzen Sie ein PDF in der version <= 1.4"
"Use PDF Appendix","PDF anhängen"
"Template Status","Template Status"
"PDF Appendix","PDF Anhang"
"Email Options","Email Options"
"Use Attachment 1","Anhang 1 benutzen"
"PDF Attachment 1","PDF Anhang 1"
"Name Attachment 1","Name Anhang 1"
"Use Attachment 2","Anhang 2 benutzen"
"PDF Attachment 2","PDF Anhang 2"
"Name Attachment 2","Name Anhang 2"
"Pdf Templates","Pdf Vorlagen"
"Export Template","Export Vorlage"
"Items page 1","Einträge für Seite 1"
"Items page 2-n","Einträge für Seite 2-n"
"Free Items","Freie Einträge"
"Add Column","Neue Spalte"
Position,Position
"Product Info","Product Info"
"Product Info and SKU","Product Info and SKU"
SKU,SKU
Price,Price
"Price Excl.Tax","Price Excl.Tax"
"Price Incl.Tax","Price Incl.Tax"
"Original Price","Original Price"
Qty,Qty
"Qty Ordered","Qty Ordered"
"Qty Invoiced","Qty Invoiced"
"Qty Shipped","Qty Shipped"
"Qty Canceled","Qty Canceled"
"Qty Refunded","Qty Refunded"
"Qty Number","Qty Number"
Subtotal,Subtotal
"Tax Amount","Tax Amount"
"Tax Percent","Tax Percent"
"Discount Amount","Discount Amount"
"Row Total","Row Total"
"Row Total Excl. Tax","Row Total Excl. Tax"
"Row Total Incl. Tax","Row Total Incl. Tax"
Status,Status
Image,Image
"All Websites","All Websites"
"Add Item","Add Item"
"Add Block","Add Block"
"Only if useful","Nur wenn es sinnvoll ist"
Always,Always
"Add Translation","Neue Übersetzungen"
"Text Before Table","Text vor Tabelle"
"Before table","Vor der Tabelle"
"Text After Table","Text nach Tabelle"
"After table","Nach der Tabelle"
"Table columns","Tabellen Spalten"
"Use Custom Columns","Eigene Spaltendefinition benutzen"
"Table Totals","Summenberechnung"
"Use Custom Totals","Eigene Reihenfolge benutzen"
"Use Default Tax Renderer","Default Steuer-Renderer"
"Display Full Tax Summary","Steuern vollständig anzeigen"
"Display Tax Total","Steuerzusammenfassung"
"Table and Text","Tabellen und Text"
"Template Information","Vorlagen Information"
"Template Name","Vorlagen Name"
Type,Type
"Default Template","Default Vorlagen"
"Yes, for automatic generation.","Ja, für automatische Erstellung."
"Download Name","Download Name"
General,General
"File to Import","File to Import"
Content,Content
Option,Option
Settings,Settings
"Import File","Import File"
"Please use (*.snmportal-pdfprint-template) File","Bitte benutzen Sie eine  (*.snmportal-pdfprint-template) Datei"
"Download Sample Templates from SNM-Portal","Download Beispiel Vorlagen von SNM-Portal"
"Import from File","Import from File"
"Margins Page 1","Seitenränder Seite 1"
"Margins Page 2-n","Seitenränder Seite 2-n"
"CSS Style","CSS Style"
Style,Style
"PHTML Templates","PHTML Vorlagen"
"Block Templates","Block Templates"
"Translation Table","Übersetzungen Table"
Translation,Übersetzungen
"Template: %1","Template: %1"
"Block template not found: %1","Block template not found: %1"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
Setup,Setup
PDFPRINT,PDFPRINT
"Please specify a correct template.","Please specify a correct template."
"The template has been deleted.","The template has been deleted."
"We can't find a template to delete.","We can't find a template to delete."
